index,conference_name,acronym,rank,url
582.0,Hong Kong Institute of Value Management Conference,HKIVM,A,https://portal.core.edu.au/conf-ranks/582/
588.0,IASTED International Conference on Biomedical Engineering,,A,https://portal.core.edu.au/conf-ranks/588/
589.0,IASTED Telehealth and Assistive Technology,,A,https://portal.core.edu.au/conf-ranks/589/
597.0,IEEE Computational Systems Bioinformatics Conference,CSB,A,https://portal.core.edu.au/conf-ranks/597/
599.0,IEEE Computer Security Foundations Symposium (was CSFW),CSF,A,https://portal.core.edu.au/conf-ranks/599/
600.0,IEEE Conference in Industrial Electronics and Applications,,A,https://portal.core.edu.au/conf-ranks/600/
602.0,IEEE Conference on Computational Complexity,CCC,A,https://portal.core.edu.au/conf-ranks/602/
604.0,IEEE Conference on Computer Vision and Pattern Recognition,CVPR,A*,https://portal.core.edu.au/conf-ranks/604/
605.0,IEEE Conference on Decision and Control,CDC,A,https://portal.core.edu.au/conf-ranks/605/
609.0,"IEEE Conference on Robotics, Automation and Mechatronics",,A,https://portal.core.edu.au/conf-ranks/609/
617.0,IEEE EMBS Neural Engineering Conference,,A,https://portal.core.edu.au/conf-ranks/617/
623.0,IEEE Information Visualization Conference,IEEE InfoVis,A*,https://portal.core.edu.au/conf-ranks/623/
638.0,IEEE International Conference on Computer Vision,ICCV,A*,https://portal.core.edu.au/conf-ranks/638/
642.0,IEEE International Conference on Data Mining,ICDM,A*,https://portal.core.edu.au/conf-ranks/642/
664.0,IEEE International Conference on Multimedia and Expo,ICME,A,https://portal.core.edu.au/conf-ranks/664/
669.0,IEEE International Conference on Pervasive Computing and Communications,PERCOM,A*,https://portal.core.edu.au/conf-ranks/669/
672.0,IEEE International Conference on Robots and Automation,,A,https://portal.core.edu.au/conf-ranks/672/
676.0,"IEEE International Conference on Software Maintenance and Evolution (prior to 2014 was ICSM, IEEE International Conference on Software Maintenance)",ICSME,A,https://portal.core.edu.au/conf-ranks/676/
678.0,IEEE International Conference on Web Services,ICWS,A,https://portal.core.edu.au/conf-ranks/678/
688.0,IEEE International Parallel and Distributed Processing Symposium (was IPPS and SPDP),IPDPS,A,https://portal.core.edu.au/conf-ranks/688/
690.0,IEEE International Requirements Engineering Conference,RE,A,https://portal.core.edu.au/conf-ranks/690/
694.0,IEEE International Symposium on Biomedical Imaging,,A,https://portal.core.edu.au/conf-ranks/694/
711.0,IEEE International Working Conference on Mining Software Repositories,MSR,A,https://portal.core.edu.au/conf-ranks/711/
725.0,IEEE Real-Time and Embedded Technology and Applications Symposium,RTAS,A,https://portal.core.edu.au/conf-ranks/725/
745.0,IEEE Symposium on Foundations of Computer Science,FOCS,A*,https://portal.core.edu.au/conf-ranks/745/
748.0,IEEE Symposium on Logic in Computer Science,LICS,A*,https://portal.core.edu.au/conf-ranks/748/
750.0,IEEE Symposium on Security and Privacy,SP,A*,https://portal.core.edu.au/conf-ranks/750/
753.0,IEEE Symposium on VLSI Circuits,VLSIC,A,https://portal.core.edu.au/conf-ranks/753/
758.0,IEEE Conference on Virtual Reality and 3D User Interfaces,VR,A*,https://portal.core.edu.au/conf-ranks/758/
759.0,IEEE Visualization,IEEE VIS,A,https://portal.core.edu.au/conf-ranks/759/
763.0,IEEE Workshop on Applications of Computer Vision,WACV,A,https://portal.core.edu.au/conf-ranks/763/
780.0,IEEE World Congress on Computational Intelligence,WCCI,A,https://portal.core.edu.au/conf-ranks/780/
783.0,IEEE/ACM International Conference on Computer-Aided Design,ICCAD,A,https://portal.core.edu.au/conf-ranks/783/
784.0,IEEE/ACM International Conference on Grid Computing,GRID,A,https://portal.core.edu.au/conf-ranks/784/
785.0,IEEE/ACM International Symposium on Mixed and Augmented Reality,ISMAR,A*,https://portal.core.edu.au/conf-ranks/785/
787.0,IEEE/IFIP International Conference on Dependable Systems and Networks,DSN,A,https://portal.core.edu.au/conf-ranks/787/
791.0,International Conference on Software Architecture (was previously WICSA),ICSA,A,https://portal.core.edu.au/conf-ranks/791/
792.0,IEEE/RSJ International Conference on Intelligent Robots and Systems,IROS,A,https://portal.core.edu.au/conf-ranks/792/
818.0,Indoor Air,IA,A,https://portal.core.edu.au/conf-ranks/818/
823.0,Information Processing in Sensor Networks,IPSN,A*,https://portal.core.edu.au/conf-ranks/823/
864.0,International Colloquium on Automata Languages and Programming,ICALP,A,https://portal.core.edu.au/conf-ranks/864/
872.0,International Computing Education Research Workshop,ICER,A,https://portal.core.edu.au/conf-ranks/872/
875.0,"International Conference for Bulk Materials Storage, Handling and Transportation",,A,https://portal.core.edu.au/conf-ranks/875/
878.0,International Conference in Business Process Management,BPM,A,https://portal.core.edu.au/conf-ranks/878/
881.0,International Conference of the International Association for Computer Methods and Advances in Geomechanics,IACMAG,A,https://portal.core.edu.au/conf-ranks/881/
891.0,International Conference on Advanced Information Systems Engineering,CaiSE,A,https://portal.core.edu.au/conf-ranks/891/
894.0,International Conference on Advances and Trends in Engineering Materials and Their Applications,,A,https://portal.core.edu.au/conf-ranks/894/
898.0,International Conference on Advances in Materials and Processing Technologies,,A,https://portal.core.edu.au/conf-ranks/898/
903.0,International Conference On Agile Manufacturing,,A,https://portal.core.edu.au/conf-ranks/903/
908.0,"International Conference on Application-specific Systems, Architectures and Processors",ASAP,A,https://portal.core.edu.au/conf-ranks/908/
913.0,International Conference on Artificial Intelligence and Statistics,AISTATS,A,https://portal.core.edu.au/conf-ranks/913/
918.0,International Conference on Automated Deduction,CADE,A,https://portal.core.edu.au/conf-ranks/918/
919.0,International Conference on Automated Planning and Scheduling,ICAPS,A*,https://portal.core.edu.au/conf-ranks/919/
922.0,"International Joint Conference on Autonomous Agents and Multiagent Systems (previously the International Conference on Multiagent Systems, ICMAS, changed in 2000)",AAMAS,A*,https://portal.core.edu.au/conf-ranks/922/
930.0,"International Conference on Civil, Structural and Environmental Engineering Computing",CIVIL-COMP,A,https://portal.core.edu.au/conf-ranks/930/
932.0,International Conference on Coastal Engineering,,A,https://portal.core.edu.au/conf-ranks/932/
940.0,International Conference on Composite Materials,,A,https://portal.core.edu.au/conf-ranks/940/
951.0,International Conference on Computational Plasticity,COMPLAS,A,https://portal.core.edu.au/conf-ranks/951/
968.0,International Conference on Computers in Urban Planning and Urban Management,CUPUM,A,https://portal.core.edu.au/conf-ranks/968/
971.0,International Conference on Conceptual Modelling,ER,A,https://portal.core.edu.au/conf-ranks/971/
973.0,International Conference on Concurrency Theory,CONCUR,A,https://portal.core.edu.au/conf-ranks/973/
986.0,International Conference on Data Engineering,ICDE,A*,https://portal.core.edu.au/conf-ranks/986/
989.0,International Conference on Database Theory,ICDT,A,https://portal.core.edu.au/conf-ranks/989/
993.0,International Conference on Design Science Research in Information Systems and Technology,DESRIST,A,https://portal.core.edu.au/conf-ranks/993/
994.0,International Conference on Design Theory and Methodology (ASME),DTM,A,https://portal.core.edu.au/conf-ranks/994/
1002.0,International Conference on Distributed Computing Systems,ICDCS,A,https://portal.core.edu.au/conf-ranks/1002/
1015.0,International Conference on Enhancement and Promotion of Computational Methods in Engineering and Science,,A,https://portal.core.edu.au/conf-ranks/1015/
1020.0,International Conference on Environmental Systems,ICES,A,https://portal.core.edu.au/conf-ranks/1020/
1021.0,International conference on ER fluids and MR suspensions,,A,https://portal.core.edu.au/conf-ranks/1021/
1022.0,International Conference on Evaluation and Assessment in Software Engineering,EASE,A,https://portal.core.edu.au/conf-ranks/1022/
1027.0,International Conference on Fast Sea Transportation,,A,https://portal.core.edu.au/conf-ranks/1027/
1028.0,International Conference on Field and Service Robotics,FSR,A,https://portal.core.edu.au/conf-ranks/1028/
1034.0,International Conference on Foundation on Data Organization,FODO,A,https://portal.core.edu.au/conf-ranks/1034/
1037.0,International Conference on Functional Programming,ICFP,A,https://portal.core.edu.au/conf-ranks/1037/
1051.0,International Conference on High Performance Yacht Design,,A,https://portal.core.edu.au/conf-ranks/1051/
1053.0,International Conference on Human Factors in Computing Systems,CHI,A*,https://portal.core.edu.au/conf-ranks/1053/
1063.0,"International Conference on Indoor Air Quality, Ventilation and Energy Conservation in Buildings",IAQVEC,A,https://portal.core.edu.au/conf-ranks/1063/
1078.0,International Conference on Information Systems,ICIS,A*,https://portal.core.edu.au/conf-ranks/1078/
1080.0,International Conference on Information Systems Development,ISD,A,https://portal.core.edu.au/conf-ranks/1080/
1101.0,International Conference on Intelligent User Interfaces,IUI,A,https://portal.core.edu.au/conf-ranks/1101/
1116.0,International Conference on Leading Edge Manufacturing in 21st Century,,A,https://portal.core.edu.au/conf-ranks/1116/
1118.0,International Conference on Liquid Atomization and Spray Systems,,A,https://portal.core.edu.au/conf-ranks/1118/
1119.0,International Conference on Logic Programming,ICLP,A,https://portal.core.edu.au/conf-ranks/1119/
1121.0,International Conference on Machine Learning,ICML,A*,https://portal.core.edu.au/conf-ranks/1121/
1130.0,International Conference on Metal Forming,,A,https://portal.core.edu.au/conf-ranks/1130/
1135.0,International Conference on Modal Analysis,,A,https://portal.core.edu.au/conf-ranks/1135/
1138.0,International Conference on Modelling and Diagnostics For Advanced Engine Systems,,A,https://portal.core.edu.au/conf-ranks/1138/
1154.0,International Conference on New Forming Technology,,A,https://portal.core.edu.au/conf-ranks/1154/
1158.0,International Conference on Numerical Methods in Industrial Forming Processes,,A,https://portal.core.edu.au/conf-ranks/1158/
1159.0,"International Conference on Ocean, Offshore and Arctic Engineering",,A,https://portal.core.edu.au/conf-ranks/1159/
1171.0,International Conference on Pervasive Computing (Joined with UbiComp from 2013),PERVASIVE,A*,https://portal.core.edu.au/conf-ranks/1171/
1174.0,International Conference on Pressure Surges,,A,https://portal.core.edu.au/conf-ranks/1174/
1175.0,International Conference on Principles and Practice of Constraint Programming,CP,A,https://portal.core.edu.au/conf-ranks/1175/
1181.0,"IEEE International Conference on Program Comprehension (previously IWPC, changed in 2006)",ICPC,A,https://portal.core.edu.au/conf-ranks/1181/
1199.0,International Conference on Security in Pervasive Computing,ICSPC,A,https://portal.core.edu.au/conf-ranks/1199/
1204.0,International Conference on Service Oriented Computing,ICSOC,A,https://portal.core.edu.au/conf-ranks/1204/
1209.0,International Conference on Software Engineering,ICSE,A*,https://portal.core.edu.au/conf-ranks/1209/
1221.0,"International Conference on Software Testing, Verification and Validation",ICST,A,https://portal.core.edu.au/conf-ranks/1221/
1222.0,International Conference on Soil Mechanics and Geotechnical Engineering,ICSMGE,A,https://portal.core.edu.au/conf-ranks/1222/
1224.0,International Conference on Steel Rolling,,A,https://portal.core.edu.au/conf-ranks/1224/
1225.0,International Conference on Structural Health Monitoring of Intelligent Infrastructure,,A,https://portal.core.edu.au/conf-ranks/1225/
1226.0,International Conference on Surface Finishing Technology and Surface Engineering,ICSFT2008,A,https://portal.core.edu.au/conf-ranks/1226/
1227.0,International Conference on Sustainability in Energy and Buildings,SEB,A,https://portal.core.edu.au/conf-ranks/1227/
1233.0,International Conference on Technology of Plasticity,,A,https://portal.core.edu.au/conf-ranks/1233/
1235.0,International Conference on Temporal Logic,ICTL,A,https://portal.core.edu.au/conf-ranks/1235/
1239.0,International Conference on the Principles of Knowledge Representation and Reasoning,KR,A*,https://portal.core.edu.au/conf-ranks/1239/
1242.0,International Conference on the Theory and Application of Cryptographic Techniques,EuroCrypt,A*,https://portal.core.edu.au/conf-ranks/1242/
1243.0,International Conference on the Theory and Application of Cryptology and Information Security,ASIACRYPT,A,https://portal.core.edu.au/conf-ranks/1243/
1244.0,"International Conference on Model Driven Engineering Languages and Systems (Previously UML, changed in 2005)",MODELS,A,https://portal.core.edu.au/conf-ranks/1244/
1245.0,"Conference on Interactive Theorem Proving (previously TPHOLs, changed in 2009)",ITP,A,https://portal.core.edu.au/conf-ranks/1245/
1250.0,International Conference on Theory and Applications of Satisfiability Testing,SAT,A,https://portal.core.edu.au/conf-ranks/1250/
1256.0,International conference on unsaturated soils,Unsat,A,https://portal.core.edu.au/conf-ranks/1256/
1257.0,International Conference on Urban Drainage,,A,https://portal.core.edu.au/conf-ranks/1257/
1261.0,International Conference on Very Large Databases,VLDB,A*,https://portal.core.edu.au/conf-ranks/1261/
1274.0,International Conference on Wind Engineering,,A,https://portal.core.edu.au/conf-ranks/1274/
1281.0,International Conferences on Advances in Steel Structures,,A,https://portal.core.edu.au/conf-ranks/1281/
1282.0,International Conferences on Progress of Machining Technology,,A,https://portal.core.edu.au/conf-ranks/1282/
1287.0,International Congress of Theoretical and Applied Mechanics,,A,https://portal.core.edu.au/conf-ranks/1287/
1289.0,International Congress on Fracture,,A,https://portal.core.edu.au/conf-ranks/1289/
1293.0,International Corrosion Congress,,A,https://portal.core.edu.au/conf-ranks/1293/
1294.0,"International Council for Research and Innovation in Building and Construction (CIB) Meetings, Workshops, Symposia, Conferences",CIB,A,https://portal.core.edu.au/conf-ranks/1294/
1298.0,International Fatigue Congress,,A,https://portal.core.edu.au/conf-ranks/1298/
1299.0,International Ferroalloy Congress,,A,https://portal.core.edu.au/conf-ranks/1299/
1304.0,International Geostatistics Congress,,A,https://portal.core.edu.au/conf-ranks/1304/
1305.0,International Group for Lean Construction Conference,IGLC,A,https://portal.core.edu.au/conf-ranks/1305/
1306.0,International Heavy Haul Association Conference,,A,https://portal.core.edu.au/conf-ranks/1306/
1307.0,International Heavy Haul Conference,,A,https://portal.core.edu.au/conf-ranks/1307/
1313.0,International Joint Conference on Artificial Intelligence,IJCAI,A*,https://portal.core.edu.au/conf-ranks/1313/
1314.0,International Joint Conference on Automated Reasoning,IJCAR,A,https://portal.core.edu.au/conf-ranks/1314/
1318.0,International Joint Conference on Qualitative and Quantitative Practical Reasoning,ESQARU,A,https://portal.core.edu.au/conf-ranks/1318/
1325.0,International Mineral Processing Congress,,A,https://portal.core.edu.au/conf-ranks/1325/
1332.0,International Pipeline Conference,,A,https://portal.core.edu.au/conf-ranks/1332/
1336.0,International Research Council on the Biomechanics of Impact,,A,https://portal.core.edu.au/conf-ranks/1336/
1338.0,International Semantic Web Conference,ISWC,A,https://portal.core.edu.au/conf-ranks/1338/
1339.0,International Society of Rock Mechanics Series of Symposia and Conferences,ISRM,A,https://portal.core.edu.au/conf-ranks/1339/
1342.0,International Symposium of Automation and Robotics in Construction,,A,https://portal.core.edu.au/conf-ranks/1342/
